,country_code,num_confirmed_interference,num_anomaly,num_no_confirmed_interference,strict_rate,loose_rate
0,,101,237,2858,0.0341331530922609,0.08009462656302806
1,UZ,0,338,14608,0.0,0.02313800657174151
2,CH,0,25126,905711,0.0,0.027741741018934295
3,LA,0,0,916,0.0,0.0
4,PW,0,0,40,0.0,0.0
5,LB,0,13329,68724,0.0,0.19394971189104243
6,MF,0,0,24,0.0,0.0
7,GU,0,8,476,0.0,0.01680672268907563
8,BF,0,23,2388,0.0,0.009631490787269681
9,BA,0,21,2296,0.0,0.009146341463414634
10,SL,0,8,613,0.0,0.013050570962479609
11,MV,0,193,12008,0.0,0.016072618254497004
12,EG,0,206090,895954,0.0,0.23002296992925977
13,CM,0,663,62424,0.0,0.010620915032679739
14,AX,0,2,122,0.0,0.01639344262295082
15,UY,0,36,5250,0.0,0.006857142857142857
16,KI,0,0,26,0.0,0.0
17,MY,7828,54640,1531126,0.005086571788370542,0.03550463496634727
18,SY,0,136,22990,0.0,0.005915615484993475
19,GN,0,4,1275,0.0,0.003137254901960784
20,BM,0,0,9,0.0,0.0
21,ML,0,6854,488651,0.0,0.014026370558946979
22,GL,0,0,5,0.0,0.0
23,IN,2812,318528,2022602,0.0013883581332014097,0.1572656256943025
24,HK,0,4705,283368,0.0,0.016603850822958132
25,TC,0,0,17,0.0,0.0
26,MQ,0,5,281,0.0,0.017793594306049824
27,MW,0,6,343,0.0,0.01749271137026239
28,NZ,0,455,34431,0.0,0.013214835468037525
29,BI,0,3369,46707,0.0,0.07213051576851436
30,MN,0,3,813,0.0,0.0036900369003690036
31,JM,0,124,9483,0.0,0.013076030791943478
32,NE,0,6,2070,0.0,0.002898550724637681
33,IT,228,127339,1533298,0.0001486769705893477,0.08303674016612696
34,SK,0,5932,34498,0.0,0.17195199721722998
35,IM,0,6,416,0.0,0.014423076923076924
36,LI,0,3,188,0.0,0.015957446808510637
37,NO,46,130628,686865,6.696646290421903e-05,0.19016728513592007
38,BH,0,88,1413,0.0,0.06227883934890304
39,AL,0,230,10919,0.0,0.021064200018316697
40,CA,0,229369,2655563,0.0,0.08637302146475154
41,KZ,0,2045,38822,0.0,0.05267631755190356
42,DM,0,2,144,0.0,0.013888888888888888
43,PH,0,3240,176699,0.0,0.01833626675872529
44,LR,0,240,1781,0.0,0.13475575519371139
45,PE,0,57,11827,0.0,0.004819480848905048
46,ZM,0,8442,251830,0.0,0.033522614462137154
47,SA,3632,6037,48798,0.06927331680335685,0.11514400152584399
48,YT,0,0,84,0.0,0.0
