,probe_cc,total,confirmed_count,anomaly_count,strict_rate,loose_rate
103,JE,16,,,,
104,JM,647,1.0,1.0,0.0015455950540958269,0.0030911901081916537
105,JO,6127,1.0,1.0,0.00016321201240411296,0.0003264240248082259
106,JP,7818,1.0,1.0,0.00012790995139421848,0.00025581990278843696
107,KE,5175,1.0,1.0,0.0001932367149758454,0.0003864734299516908
108,KG,2357,1.0,1.0,0.00042426813746287653,0.0008485362749257531
109,KH,6749,1.0,1.0,0.0001481700992739665,0.000296340198547933
110,KI,29,,,,
111,KM,220,,,,
112,KN,27,1.0,1.0,0.037037037037037035,0.07407407407407407
113,KP,11,,,,
114,KR,7190,1.0,1.0,0.00013908205841446454,0.0002781641168289291
115,KW,1790,1.0,1.0,0.0005586592178770949,0.0011173184357541898
116,KY,28,1.0,1.0,0.03571428571428571,0.07142857142857142
117,KZ,13934,1.0,1.0,7.176690110521028e-05,0.00014353380221042057
118,LA,1388,1.0,1.0,0.0007204610951008645,0.001440922190201729
119,LB,6424,1.0,1.0,0.00015566625155666251,0.00031133250311332503
120,LC,33,1.0,1.0,0.030303030303030304,0.06060606060606061
121,LI,52,1.0,1.0,0.019230769230769232,0.038461538461538464
122,LK,1371,1.0,1.0,0.0007293946024799417,0.0014587892049598833
123,LR,373,,,,
124,LS,326,1.0,1.0,0.003067484662576687,0.006134969325153374
125,LT,1912,1.0,1.0,0.0005230125523012552,0.0010460251046025104
126,LU,1467,1.0,1.0,0.0006816632583503749,0.0013633265167007499
127,LV,1130,1.0,1.0,0.0008849557522123894,0.0017699115044247787
128,LY,8777,1.0,1.0,0.00011393414606357525,0.0002278682921271505
129,MA,73073,1.0,1.0,1.3684945191794507e-05,2.7369890383589014e-05
130,MC,45,,,,
131,MD,3849,1.0,1.0,0.0002598077422707197,0.0005196154845414394
132,ME,252,1.0,1.0,0.003968253968253968,0.007936507936507936
133,MF,6,,,,
134,MG,1084,1.0,1.0,0.0009225092250922509,0.0018450184501845018
135,MH,60,,,,
136,MK,524,1.0,1.0,0.0019083969465648854,0.003816793893129771
137,ML,5101,1.0,1.0,0.00019603999215840032,0.00039207998431680063
138,MM,436,1.0,1.0,0.0022935779816513763,0.0045871559633027525
139,MN,402,1.0,1.0,0.0024875621890547263,0.004975124378109453
140,MO,188,1.0,1.0,0.005319148936170213,0.010638297872340425
141,MQ,140,,,,
142,MR,2039,1.0,1.0,0.0004904364884747426,0.000980872976949485
143,MS,8,1.0,1.0,0.125,0.25
144,MT,237,1.0,1.0,0.004219409282700422,0.008438818565400843
145,MU,1105,1.0,1.0,0.0009049773755656109,0.0018099547511312218
146,MV,621,1.0,1.0,0.001610305958132045,0.00322061191626409
147,MW,166,1.0,1.0,0.006024096385542169,0.012048192771084338
148,MX,37555,1.0,1.0,2.6627612834509387e-05,5.3255225669018775e-05
149,MY,24930,3.0,1.0,0.00012033694344163658,0.0001604492579221821
150,MZ,5205,1.0,1.0,0.00019212295869356388,0.00038424591738712776
151,,891,1.0,1.0,0.001122334455667789,0.002244668911335578
152,NC,146,1.0,1.0,0.00684931506849315,0.0136986301369863
153,NE,1763,,,,
154,NG,4311,1.0,1.0,0.00023196474135931338,0.00046392948271862676
155,NI,3003,1.0,1.0,0.000333000333000333,0.000666000666000666
156,NL,18363,1.0,1.0,5.445733267984534e-05,0.00010891466535969068
157,NO,5825,1.0,1.0,0.00017167381974248928,0.00034334763948497857
158,NP,1251,1.0,1.0,0.0007993605115907274,0.0015987210231814548
159,NR,10,,,,
160,NZ,3411,1.0,1.0,0.0002931691586045148,0.0005863383172090296
161,OM,3150,1.0,1.0,0.00031746031746031746,0.0006349206349206349
162,PA,2872,1.0,1.0,0.00034818941504178273,0.0006963788300835655
163,PE,6357,1.0,1.0,0.00015730690577316344,0.0003146138115463269
164,PF,241,1.0,1.0,0.004149377593360996,0.008298755186721992
165,PG,148,1.0,1.0,0.006756756756756757,0.013513513513513514
166,PH,7646,1.0,1.0,0.00013078733978550875,0.0002615746795710175
167,PK,11066,1.0,1.0,9.036688957166094e-05,0.0001807337791433219
168,PL,9450,1.0,1.0,0.00010582010582010582,0.00021164021164021165
169,PM,80,,,,
170,PR,1101,1.0,1.0,0.0009082652134423251,0.0018165304268846503
171,PS,1751,1.0,1.0,0.0005711022272986865,0.001142204454597373
172,PT,7266,3.0,1.0,0.00041288191577208916,0.0005505092210294523
173,PW,23,,,,
174,PY,1910,1.0,1.0,0.0005235602094240838,0.0010471204188481676
175,QA,2350,2.0,1.0,0.000851063829787234,0.001276595744680851
176,RE,766,1.0,1.0,0.0013054830287206266,0.0026109660574412533
177,RO,8831,4.0,1.0,0.0004529498358056845,0.0005661872947571057
178,RS,1857,1.0,1.0,0.0005385029617662897,0.0010770059235325794
179,RU,275705,11.0,1.0,3.989771676248164e-05,4.352478192270724e-05
180,RW,309,1.0,1.0,0.003236245954692557,0.006472491909385114
181,SA,14439,3.0,1.0,0.00020777062123415748,0.00027702749497887663
182,SB,45,,,,
183,SC,282,1.0,1.0,0.0035460992907801418,0.0070921985815602835
184,SD,12487,1.0,1.0,8.008328661808281e-05,0.00016016657323616562
185,SE,11103,1.0,1.0,9.006574799603711e-05,0.00018013149599207422
186,SG,5719,1.0,1.0,0.00017485574401119076,0.0003497114880223815
187,SI,3307,1.0,1.0,0.0003023888720895071,0.0006047777441790142
188,SK,1529,1.0,1.0,0.0006540222367560497,0.0013080444735120995
189,SL,223,,,,
190,SN,6185,1.0,1.0,0.00016168148746968473,0.00032336297493936947
191,SO,1944,1.0,1.0,0.00051440329218107,0.00102880658436214
192,SR,259,1.0,1.0,0.003861003861003861,0.007722007722007722
193,SS,181,1.0,1.0,0.0055248618784530384,0.011049723756906077
194,ST,180,,,,
195,SV,1975,1.0,1.0,0.0005063291139240507,0.0010126582278481013
196,SX,26,,,,
