,country_code,num_confirmed_interference,num_anomaly,num_no_confirmed_interference,strict_rate,loose_rate
0,,0,17,69,0.0,0.2463768115942029
1,CH,0,137379,4279781,0.0,0.03209953967270755
2,EG,0,3600,268768,0.0,0.01339445172044291
3,UY,0,2385,174181,0.0,0.013692653044821191
4,MY,9168,18976,462095,0.019454105244842052,0.04026626321183713
5,IN,0,16181,186573,0.0,0.08672744716545266
6,HK,0,7,226,0.0,0.030973451327433628
7,NZ,0,21,2719,0.0,0.007723427730783376
8,BI,0,187,9811,0.0,0.01906023850779737
9,IT,347,7737,267714,0.0012944814799616506,0.028862833459548386
10,SK,0,0,20,0.0,0.0
11,NO,4,2443,190685,2.09765639339448e-05,0.012811436422656787
12,CA,0,7787,335948,0.0,0.023179182492528604
13,KZ,0,1134,13100,0.0,0.0865648854961832
14,PH,0,405,27051,0.0,0.01497172008428524
15,ZM,0,577,35577,0.0,0.016218343311690135
16,SA,139,140,7028,0.019394446769917677,0.019533975163945862
17,FR,330,3563,527076,0.0006257039169065198,0.00675570623011494
18,IQ,0,1953,73140,0.0,0.026702214930270713
19,KE,0,1461,116808,0.0,0.012507704951715637
20,IE,0,56,2422,0.0,0.023121387283236993
21,PA,0,0,4481,0.0,0.0
22,DZ,0,1,31,0.0,0.03225806451612903
23,AE,2624,4236,154587,0.016690944017912233,0.026944679443550387
24,HN,0,0,8496,0.0,0.0
25,AT,0,169,13615,0.0,0.01241278002203452
26,ZA,0,204,14168,0.0,0.014398644833427442
27,AR,0,0,3168,0.0,0.0
28,BR,0,19322,702984,0.0,0.027485689574727162
29,TZ,0,122,9662,0.0,0.01262678534464914
30,PK,0,9091,189122,0.0,0.048069500111039436
31,GA,0,44,24662,0.0,0.001784121320249777
32,BD,0,0,738,0.0,0.0
33,LT,0,76,4484,0.0,0.01694915254237288
34,CL,0,41,2721,0.0,0.015067989709665565
35,CR,0,0,7226,0.0,0.0
36,LU,0,173,23435,0.0,0.007382120759547685
37,FI,0,584,56863,0.0,0.010270298788315776
38,DE,0,8937,361984,0.0,0.02468893652758133
39,JP,0,52,5387,0.0,0.009652868015593095
40,CO,0,47,2724,0.0,0.01725403817914831
41,RW,0,39,156,0.0,0.25
42,GR,4957,18306,741371,0.006641851839941688,0.02452808952632087
43,UG,0,2715,119511,0.0,0.022717574114516654
44,TN,0,0,150,0.0,0.0
45,TJ,0,207,2641,0.0,0.07837940174176448
46,ES,0,1460,218244,0.0,0.006689760085042429
47,NG,0,1,62,0.0,0.016129032258064516
48,MX,0,272,22706,0.0,0.011979212542940192
49,TH,0,1727,109452,0.0,0.01577860614698681
50,ET,0,1334,14409,0.0,0.09258102574779652
51,CN,0,8953,42260,0.0,0.21185518220539518
52,GB,34,11971,1689078,2.012891981111969e-05,0.007087155854673935
53,IS,0,4249,360997,0.0,0.011770180915630878
54,IL,0,33,10137,0.0,0.0032554010062148565
55,EC,0,32,1456,0.0,0.02197802197802198
56,JO,0,0,11484,0.0,0.0
57,ZZ,0,225,208387,0.0,0.0010797218636479243
58,TW,0,227,23231,0.0,0.009771426111661142
59,SI,0,73,6132,0.0,0.011904761904761904
60,UA,0,252,9573,0.0,0.026324036352240676
61,CZ,0,307,39609,0.0,0.0077507637153172255
62,GY,0,1316,48186,0.0,0.027310837172622754
63,TR,1379,14135,201271,0.006804835924006909,0.0697508018751542
64,KR,17410,26752,339971,0.04871551649360207,0.07485568622842288
65,VN,0,1504,65531,0.0,0.022950969770032505
66,CU,0,280,6683,0.0,0.04189735148885231
67,QA,108,108,52703,0.0020450284978508265,0.0020450284978508265
68,BY,0,0,85,0.0,0.0
69,GE,0,0,617,0.0,0.0
70,MM,0,381,83655,0.0,0.004554419939035324
71,HR,0,27,55086,0.0,0.0004901426859819192
72,MA,0,16,9368,0.0,0.0017079419299743809
73,KG,0,273,15491,0.0,0.01762313601446001
74,VE,0,290,73045,0.0,0.003970155383667602
75,KH,0,103,7242,0.0,0.014222590444628556
76,MT,0,7,716,0.0,0.009776536312849162
77,AU,0,1698,244924,0.0,0.006932762816220542
78,BE,26,78,7359,0.0035206499661475966,0.01056194989844279
79,NL,0,1676,373177,0.0,0.004491166390211615
80,RU,1222,2041,91570,0.013169238727476506,0.021995430640572463
81,GH,0,107,6137,0.0,0.017435228939221118
82,SG,0,183,2802,0.0,0.06531049250535331
83,DK,35,422,130859,0.00026739193545922654,0.003223982764679817
84,BG,0,9717,490416,0.0,0.01981379074092199
85,GM,0,0,37,0.0,0.0
86,SN,0,17,1215,0.0,0.013991769547325103
87,US,0,19609,1642734,0.0,0.011936807785070499
88,IR,42676,45513,71802,0.37278778455249045,0.39756983874630936
89,PT,0,234,125156,0.0,0.0018696666560132954
90,PL,0,77,11170,0.0,0.006893464637421665
91,EE,0,3008,206424,0.0,0.014571948998178506
92,HU,0,397,2841,0.0,0.1397395283350933
93,SE,0,2705,238433,0.0,0.011344906116183582
94,ZW,0,1959,116389,0.0,0.016831487511706433
95,RO,2,691,9362,0.00021358393848782572,0.07379325074754378
96,GF,2,208,6305,0.00031710797526557794,0.032979229427620105
97,SR,0,1514,125052,0.0,0.012106963503182676
98,ID,0,17694,171986,0.0,0.10288046701475702
99,BO,0,12,284,0.0,0.04225352112676056
