,country_code,num_confirmed_interference,num_anomaly,num_no_confirmed_interference,strict_rate,loose_rate
0,,0,0,1516,0.0,0.0
1,CH,0,0,605638,0.0,0.0
2,LA,0,0,8637,0.0,0.0
3,LB,0,0,3,0.0,0.0
4,MY,0,0,589,0.0,0.0
5,BM,0,0,252,0.0,0.0
6,HK,0,0,4011,0.0,0.0
7,IN,34,34,258372,0.0001315758922006455,0.0001315758922006455
8,NZ,0,0,1173,0.0,0.0
9,IT,0,0,26706,0.0,0.0
10,SK,0,0,2147,0.0,0.0
11,NO,0,0,20012,0.0,0.0
12,CA,0,0,66414,0.0,0.0
13,KZ,0,0,1,0.0,0.0
14,PH,0,0,138,0.0,0.0
15,SA,343,343,21912,0.015412266906313189,0.015412266906313189
16,FR,0,0,110172,0.0,0.0
17,IQ,0,0,852,0.0,0.0
18,IE,0,0,11010,0.0,0.0
19,PA,0,0,13319,0.0,0.0
20,AE,0,0,66,0.0,0.0
21,AT,0,0,284827,0.0,0.0
22,ZA,0,0,1145,0.0,0.0
23,CY,1,1,9601,0.00010414496979795876,0.00010414496979795876
24,AR,0,0,2787,0.0,0.0
25,BR,0,0,10769,0.0,0.0
26,PK,0,0,2,0.0,0.0
27,LU,0,0,49963,0.0,0.0
28,DE,0,27,600622,0.0,4.49533983104182e-05
29,JP,0,0,2454,0.0,0.0
30,CO,0,0,3002,0.0,0.0
31,GR,1195,1195,65794,0.01783874964546418,0.01783874964546418
32,UG,0,0,369,0.0,0.0
33,SD,6,6,1688,0.0035419126328217238,0.0035419126328217238
34,TN,0,0,16,0.0,0.0
35,LV,0,0,4372,0.0,0.0
36,BB,0,0,4117,0.0,0.0
37,ES,0,0,336051,0.0,0.0
38,MX,0,0,5851,0.0,0.0
39,TH,0,0,634,0.0,0.0
40,CN,0,0,3280,0.0,0.0
41,GB,302,63048,555166,0.0005436856848639346,0.11350428827583227
42,IL,0,0,2787,0.0,0.0
43,EC,0,0,2453,0.0,0.0
44,IS,0,0,3135,0.0,0.0
45,JO,0,0,2170,0.0,0.0
46,SI,0,0,20142,0.0,0.0
47,ZZ,0,0,116244,0.0,0.0
48,TW,0,0,2,0.0,0.0
49,UA,0,0,13999,0.0,0.0
50,CZ,0,0,7365,0.0,0.0
51,DO,0,0,1,0.0,0.0
52,TR,294,294,25394,0.011445032700093428,0.011445032700093428
53,KR,0,0,8,0.0,0.0
54,VN,0,0,10,0.0,0.0
55,SV,0,0,1,0.0,0.0
56,BY,0,0,135,0.0,0.0
57,GE,0,0,195,0.0,0.0
58,MA,0,0,6,0.0,0.0
59,HR,0,0,2,0.0,0.0
60,VE,0,0,2210,0.0,0.0
61,KH,0,0,9,0.0,0.0
62,AU,0,0,19505,0.0,0.0
63,BE,33,33,225766,0.00014614768001629767,0.00014614768001629767
64,NL,0,0,57350,0.0,0.0
65,RU,150,150,14312,0.010372009403955194,0.010372009403955194
66,TG,0,0,6,0.0,0.0
67,SG,0,0,224,0.0,0.0
68,DK,4,4,37901,0.00010552697533306952,0.00010552697533306952
69,NI,0,0,2934,0.0,0.0
70,BG,0,0,189023,0.0,0.0
71,US,0,152,1028212,0.0,0.00014782943595289687
72,IR,3585,3585,11855,0.23218911917098445,0.23218911917098445
73,PL,0,0,24087,0.0,0.0
74,PT,2,2,6094,0.00032808398950131233,0.00032808398950131233
75,EE,0,0,5,0.0,0.0
76,HU,0,0,46187,0.0,0.0
77,SE,0,0,8501,0.0,0.0
78,ID,0,0,7,0.0,0.0
