,country_code,num_confirmed_interference,num_anomaly,num_no_confirmed_interference,strict_rate,loose_rate
0,,0,92,4384,0.0,0.020985401459854013
1,UZ,0,219,16274,0.0,0.013457048052107656
2,CH,0,56996,757691,0.0,0.07522327703509742
3,LA,0,12,1661,0.0,0.007224563515954244
4,PW,0,0,44,0.0,0.0
5,LB,0,2614,33692,0.0,0.07758518342633267
6,MF,0,0,6,0.0,0.0
7,GU,0,13,461,0.0,0.028199566160520606
8,BF,0,26,2748,0.0,0.009461426491994178
9,BA,0,1009,12913,0.0,0.07813831023000077
10,SL,0,1,320,0.0,0.003125
11,MV,0,17,1392,0.0,0.01221264367816092
12,EG,0,185780,623312,0.0,0.2980529814924147
13,CM,0,782,12904,0.0,0.06060136391816491
14,AX,0,0,5,0.0,0.0
15,UY,0,53,3554,0.0,0.014912774338773213
16,KI,0,0,37,0.0,0.0
17,MY,3443,10542,353545,0.00964458189070781,0.029530404383340616
18,SY,0,435,15401,0.0,0.028244919161093434
19,GN,0,13,1653,0.0,0.007864488808227465
20,BM,0,0,70,0.0,0.0
21,ML,0,7552,495808,0.0,0.01523170259455273
22,GL,0,9,282,0.0,0.031914893617021274
23,IN,17489,436645,1768830,0.009790524536770867,0.2444384233723092
24,HK,0,10648,374533,0.0,0.02843007158247738
25,TC,0,0,27,0.0,0.0
26,MW,0,9,372,0.0,0.024193548387096774
27,MQ,0,1,190,0.0,0.005263157894736842
28,NZ,0,362,19411,0.0,0.018649219514708156
29,BI,0,1343,14123,0.0,0.09509311052892445
30,MN,0,11,806,0.0,0.013647642679900745
31,JM,0,13,904,0.0,0.014380530973451327
32,NE,0,4,2075,0.0,0.0019277108433734939
33,IT,130,116514,1395634,9.313895472300474e-05,0.08347686285073981
34,SK,0,242,9132,0.0,0.026500219010074464
35,IM,0,16,1023,0.0,0.015640273704789834
36,LI,0,3,335,0.0,0.008955223880597015
37,NO,1,96771,375684,2.6618044372279967e-06,0.2575854771949905
38,BH,0,66,1194,0.0,0.05527638190954774
39,AL,0,99,6374,0.0,0.015531848133040477
40,CA,0,566136,2400642,0.0,0.23582691629988978
41,KZ,0,2026,36441,0.0,0.05559671798249225
42,DM,0,0,104,0.0,0.0
43,PH,0,1106,111298,0.0,0.009937285485812863
44,LR,0,106,1076,0.0,0.09851301115241635
45,PE,0,326,16473,0.0,0.019789959327384206
46,ZM,0,4244,154376,0.0,0.027491319894284084
47,SA,3812,6418,49535,0.07145668922338651,0.12030667141544979
48,YT,0,0,18,0.0,0.0
49,FR,0,335611,2443560,0.0,0.13734510304637496
50,AP,0,0,37,0.0,0.0
51,ER,0,0,7,0.0,0.0
52,IQ,0,6349,107300,0.0,0.059170549860205035
53,OM,0,257,6586,0.0,0.03902216823565138
54,VU,0,11,478,0.0,0.02301255230125523
55,KP,0,1,37,0.0,0.02702702702702703
56,KE,0,8961,436839,0.0,0.020513278347400302
57,IE,0,86474,5514868,0.0,0.015680157711843692
58,IO,0,0,4,0.0,0.0
59,PA,0,635,16793,0.0,0.03781337462037754
60,DZ,0,1037,109451,0.0,0.009474559391873989
61,GT,0,66,4634,0.0,0.014242555028053518
62,AS,0,0,5,0.0,0.0
63,AE,1318,3475,34210,0.03709750056293627,0.0978101778878631
64,AT,0,11390,970509,0.0,0.011736109608463188
65,HN,0,389,10878,0.0,0.03576025004596433
66,TT,0,22,1093,0.0,0.020128087831655993
67,ZA,0,14281,575759,0.0,0.024803780748542358
68,LY,0,235,14266,0.0,0.016472732370671525
69,BJ,0,3290,193541,0.0,0.016998982127817877
70,GD,0,1,91,0.0,0.01098901098901099
71,CY,0,398,7686,0.0,0.05178246161852719
72,AR,0,48929,832351,0.0,0.05878409469082154
73,EU,0,2001,67683,0.0,0.029564292362927177
74,ST,0,0,262,0.0,0.0
75,JE,0,14,120,0.0,0.11666666666666667
76,BR,0,917117,5032084,0.0,0.182253913090481
77,TZ,0,642,37351,0.0,0.017188294824770422
78,BT,0,0,132,0.0,0.0
79,PK,0,142444,1317256,0.0,0.10813691492010664
80,MD,0,211,7720,0.0,0.02733160621761658
81,VI,0,0,47,0.0,0.0
82,SX,0,0,29,0.0,0.0
83,GA,0,6,1951,0.0,0.0030753459764223477
84,CF,0,0,75,0.0,0.0
85,BD,0,4374,61146,0.0,0.07153370621136297
86,GG,0,1,63,0.0,0.015873015873015872
87,LT,0,218,6263,0.0,0.03480760019160147
88,NR,0,0,10,0.0,0.0
89,PM,0,0,80,0.0,0.0
90,CL,0,37470,197752,0.0,0.18947975241716897
91,TV,0,0,2,0.0,0.0
92,CR,0,65,5602,0.0,0.011602998928953945
93,KN,0,4,104,0.0,0.038461538461538464
94,AO,0,5,4426,0.0,0.0011296882060551287
95,LC,0,1,75,0.0,0.013333333333333334
96,LU,0,368,11245,0.0,0.03272565584704313
97,PF,0,5,461,0.0,0.010845986984815618
98,FI,0,6599,637543,0.0,0.01035067438588456
99,DE,0,591049,3461370,0.0,0.17075579900444043
100,JP,0,8230,251713,0.0,0.03269596723252276
101,CO,0,6019,72274,0.0,0.08328029443506656
102,RW,0,10,685,0.0,0.014598540145985401
103,GR,651,7726,514867,0.0012628075062364457,0.014986867577853731
104,UG,0,9322,250360,0.0,0.03723438248921553
105,ME,0,433,6266,0.0,0.06910309607405044
106,TN,0,983,86980,0.0,0.011301448608875603
107,SD,0,684,22338,0.0,0.030620467365028204
108,NP,0,220,8271,0.0,0.02659896022246403
109,MZ,0,11,6488,0.0,0.0016954377311960542
110,MK,0,61,2695,0.0,0.022634508348794064
111,TJ,0,19,2237,0.0,0.008493518104604381
112,LV,0,315,12043,0.0,0.026156273353815495
113,AD,0,0,263,0.0,0.0
114,BB,0,0,248,0.0,0.0
115,ES,0,27463,1055474,0.0,0.026019589303005096
116,AW,0,0,65,0.0,0.0
117,WF,0,0,13,0.0,0.0
118,NG,0,19030,395817,0.0,0.04807777331443571
119,HT,0,1,2490,0.0,0.00040160642570281126
120,MX,0,12529,632412,0.0,0.01981145202810826
121,AG,0,2,102,0.0,0.0196078431372549
122,SB,0,0,67,0.0,0.0
123,MS,0,2,41,0.0,0.04878048780487805
124,TM,0,412,11915,0.0,0.03457826269408309
125,KM,0,0,239,0.0,0.0
126,TH,0,31959,638735,0.0,0.050034834477521974
127,ET,0,5932,119060,0.0,0.049823618343692255
128,CN,0,30836,120660,0.0,0.25556108072269185
129,RE,0,28257,65025,0.0,0.4345559400230681
130,WS,0,0,62,0.0,0.0
