,country_code,num_confirmed_interference,num_anomaly,num_no_confirmed_interference,strict_rate,loose_rate
205,PL,0,12275,250072,0.0,0.049085863271377844
206,EE,0,2707,125239,0.0,0.021614672745710203
207,TL,0,0,22,0.0,0.0
208,BQ,0,5,151,0.0,0.033112582781456956
209,PS,0,5989,326989,0.0,0.018315600830608982
210,HU,0,595,22828,0.0,0.0260644822148239
211,SE,0,23052,827571,0.0,0.027855011835842484
212,ZW,0,1661,72715,0.0,0.02284260468954136
213,CK,0,0,6,0.0,0.0
214,SC,0,76,746,0.0,0.10187667560321716
215,RO,2033,6887,199498,0.010087778058958672,0.03417340260307347
216,LS,0,750,49605,0.0,0.015119443604475355
217,FO,0,52,4726,0.0,0.011002962336013541
218,PG,0,10,286,0.0,0.03496503496503497
219,GF,0,27,528,0.0,0.05113636363636364
220,BZ,0,18,242,0.0,0.0743801652892562
221,ID,0,42205,486370,0.0,0.08677550013364312
222,BO,0,9563,20574,0.0,0.46480995431126665
223,SR,0,7,229,0.0,0.03056768558951965
