country_code,num_confirmed_interference,num_anomaly,num_no_confirmed_interference,strict_rate,loose_rate
AD,0,2,139,0.0,0.014388489208633094
AE,0,9472,118453,0.0,0.07996420521219387
AF,0,7492,30611,0.0,0.24474861977720427
AG,0,0,53,0.0,0.0
AL,0,280,9192,0.0,0.030461270670147953
AM,0,32,1911,0.0,0.01674515960230246
AO,0,34,2551,0.0,0.013328106624852998
AP,0,92,2023,0.0,0.045477014335145824
AR,0,4783,159757,0.0,0.029939220190664573
AT,0,17324,202854,0.0,0.08540132311909057
AU,0,18278,703182,0.0,0.025993270589975283
AW,0,2,253,0.0,0.007905138339920948
AX,0,1,99,0.0,0.010101010101010102
AZ,0,121,5098,0.0,0.02373479795998431
BA,0,63,2161,0.0,0.029153169828782972
BB,0,2,50,0.0,0.04
BD,0,656,13394,0.0,0.04897715394952964
BE,1764,8355,205933,0.008493141451248694,0.04872001039976504
BF,0,12,316,0.0,0.0379746835443038
BG,0,22680,801347,0.0,0.0283023459250487
BH,0,337,3307,0.0,0.1019050498941639
BI,0,4260,237237,0.0,0.01795672681748631
BJ,0,26,606,0.0,0.0429042904290429
BM,0,0,6,0.0,0.0
BN,0,21,1105,0.0,0.019004524886877826
BO,0,9796,20877,0.0,0.4692245054366049
BQ,0,5,156,0.0,0.03205128205128205
BR,0,104568,3175308,0.0,0.032931608524275444
BS,0,27,555,0.0,0.04864864864864865
BT,0,0,13,0.0,0.0
BW,0,1,83,0.0,0.012048192771084338
BY,0,613,48879,0.0,0.012541173100922686
BZ,0,18,260,0.0,0.06923076923076923
CA,0,61594,1585747,0.0,0.038842261722708604
CD,0,147,3133,0.0,0.04691988509415895
CF,0,0,15,0.0,0.0
CG,0,6,285,0.0,0.021052631578947368
CH,0,170710,2339981,0.0,0.07295358381115061
CI,0,86,2109,0.0,0.04077761972498815
CK,0,0,2,0.0,0.0
CL,0,28186,810630,0.0,0.034770487151968225
CM,0,996,70247,0.0,0.014178541432374337
CN,0,20118,111494,0.0,0.18044020306025435
CO,0,1262,45601,0.0,0.02767483169228745
CR,0,839,19167,0.0,0.04377315177127354
CU,0,1711,20317,0.0,0.08421518925038145
CV,0,12,284,0.0,0.04225352112676056
CW,0,7,169,0.0,0.04142011834319527
CY,4,26419,291485,1.3722644765325622e-05,0.09064836065854973
CZ,0,8236,241042,0.0,0.034168319214078875
DE,0,151131,2961820,0.0,0.05102639593223086
DJ,0,8,354,0.0,0.022598870056497175
DK,47,2821,192521,0.00024406962735241578,0.014893440239292094
DM,0,0,34,0.0,0.0
DO,0,337,17470,0.0,0.019290211791642815
DZ,0,1800,49739,0.0,0.0361889060897887
EC,0,1004,34153,0.0,0.029397124703539952
EE,0,2783,129057,0.0,0.02156411508093323
EG,0,181947,1230027,0.0,0.14792114319441768
ES,0,25270,1419174,0.0,0.017806132299492523
ET,0,381,5006,0.0,0.07610866959648421
EU,0,473,9239,0.0,0.05119601688494426
FI,0,5255,481482,0.0,0.010914219015456444
FJ,0,0,13,0.0,0.0
FM,0,0,9,0.0,0.0
FO,0,54,4848,0.0,0.011138613861386138
FR,0,156243,5802194,0.0,0.026928261964353484
GA,0,40,1053,0.0,0.03798670465337132
GB,0,61025,2023743,0.0,0.030154520608595064
GE,0,308,11121,0.0,0.027695351137487636
GF,0,27,502,0.0,0.053784860557768925
GG,0,0,5,0.0,0.0
GH,0,96,2573,0.0,0.03731053245239021
GI,0,19,415,0.0,0.04578313253012048
GL,0,5,181,0.0,0.027624309392265192
GM,0,9,279,0.0,0.03225806451612903
GN,0,3,307,0.0,0.009771986970684038
GP,0,48,1019,0.0,0.047105004906771344
GQ,0,2,104,0.0,0.019230769230769232
