country_code,num_confirmed_interference,num_anomaly,num_no_confirmed_interference,strict_rate,loose_rate
LS,0,1060,61947,0.0,0.017111401682083072
LT,0,70,4352,0.0,0.01608455882352941
LU,0,2052,197008,0.0,0.0104158206773329
LV,0,55,3196,0.0,0.0172090112640801
LY,0,78,9252,0.0,0.008430609597924773
MA,0,2625,153270,0.0,0.017126639264043845
MC,0,1,37,0.0,0.02702702702702703
MD,0,153,7108,0.0,0.02152504220596511
ME,0,0,360,0.0,0.0
MF,0,0,16,0.0,0.0
MG,0,0,920,0.0,0.0
MH,0,1,20,0.0,0.05
MK,0,77,4832,0.0,0.01593543046357616
ML,0,5757,415334,0.0,0.013861133449223998
MM,0,46,3752,0.0,0.012260127931769723
MN,0,0,709,0.0,0.0
MO,0,2,352,0.0,0.005681818181818182
MP,0,0,3,0.0,0.0
MQ,0,5,258,0.0,0.01937984496124031
MR,0,6,2000,0.0,0.003
MT,0,8,659,0.0,0.012139605462822459
MU,0,682,46595,0.0,0.014636763601244768
MV,0,154,10099,0.0,0.015249034557877017
MW,0,4,288,0.0,0.013888888888888888
MX,0,14909,622303,0.0,0.02395778262357726
MY,6549,46198,1296654,0.005025310715214744,0.04047489147891771
MZ,0,9,5733,0.0,0.0015698587127158557
NC,0,1,119,0.0,0.008403361344537815
NE,0,2,1780,0.0,0.0011235955056179776
NG,0,216,6418,0.0,0.03365534434403241
NI,0,132,7024,0.0,0.01879271070615034
NL,0,43481,1289745,0.0,0.033712865721518596
NO,40,111491,582516,6.866292682591888e-05,0.19145112229553896
NP,0,1789,89711,0.0,0.019941813155577352
NR,0,0,1,0.0,0.0
NZ,0,379,29432,0.0,0.012877140527317206
OM,0,323,6485,0.0,0.04980724749421742
PA,0,106,4058,0.0,0.026121241991128634
PE,0,42,9902,0.0,0.004241567360129267
PF,0,3,437,0.0,0.006864988558352402
PG,0,0,331,0.0,0.0
PH,0,2813,149601,0.0,0.018803350244984994
PK,0,145319,1386865,0.0,0.10478236886791432
PL,0,56104,174220,0.0,0.3220296177247159
PM,0,0,6,0.0,0.0
PR,0,49,4526,0.0,0.010826336721166592
PS,0,53,3012,0.0,0.01759628154050465
PT,276,5559,89351,0.003079429189864661,0.06510314972050833
PW,0,0,33,0.0,0.0
PY,0,30,3571,0.0,0.008401008120974517
QA,1,157,5491,0.0001820830298616169,0.02876911871813547
RE,0,6190,42078,0.0,0.14710775226959455
RO,4173,15065,455079,0.009086514593295184,0.041889855678363945
RS,0,807,30998,0.0,0.026033937673398285
RU,920792,3291196,27032536,0.03294033540478615,0.15067930373084737
RW,0,58,806,0.0,0.07196029776674938
SA,3642,5692,41219,0.0811841020039678,0.20806491161588017
SB,0,0,36,0.0,0.0
SC,0,169,1376,0.0,0.12281976744186046
SD,2,1133,35153,5.689091167685962e-05,0.032285592376617836
SE,0,28485,881849,0.0,0.03230144843391556
SG,0,15149,107498,0.0,0.14092355206608495
SI,0,352,13034,0.0,0.02700629123829983
SK,0,4971,29593,0.0,0.16797891393234887
SL,0,8,536,0.0,0.014925373134328358
SN,0,22,5083,0.0,0.0043281526657485735
SO,0,1,2668,0.0,0.0003748125937031484
SR,0,17,564,0.0,0.030141843971631204
SS,0,49,555,0.0,0.08828828828828829
ST,0,0,228,0.0,0.0
SV,0,17,2136,0.0,0.007958801498127341
SX,0,0,53,0.0,0.0
SY,0,128,19362,0.0,0.006610887305030472
SZ,0,0,49,0.0,0.0
TC,0,0,10,0.0,0.0
TD,0,97,1281,0.0,0.07572209211553474
TG,0,0,1575,0.0,0.0
TH,0,31741,554441,0.0,0.0572486522461362
TJ,0,3,2474,0.0,0.0012126111560226355
TL,0,2,162,0.0,0.012345679012345678
TM,0,804,9494,0.0,0.08468506425110596
TN,0,116,26759,0.0,0.004334990096789865
TO,0,0,16,0.0,0.0
TR,0,6551,179543,0.0,0.036487081089209825
TT,0,16,1222,0.0,0.01309328968903437
TV,0,0,7,0.0,0.0
TW,0,18432,789609,0.0,0.023343198975695565
TZ,0,156,6560,0.0,0.02378048780487805
UA,0,12796,269400,0.0,0.047498144023756496
UG,0,17330,611867,0.0,0.028323148658123416
US,0,1048209,16656460,0.0,0.06293107899277517
UY,0,16,4526,0.0,0.003535130357931949
UZ,0,274,12236,0.0,0.02239293886891141
VC,0,0,41,0.0,0.0
VE,0,37089,324196,0.0,0.11440301545978358
VG,0,0,34,0.0,0.0
VI,0,0,211,0.0,0.0
VN,0,335,13685,0.0,0.024479356960175374
VU,0,2,20,0.0,0.1
WF,0,0,8,0.0,0.0
WS,0,0,11,0.0,0.0
YE,0,161,11106,0.0,0.014496668467495047
YT,0,0,65,0.0,0.0
ZA,0,5430,261484,0.0,0.02076608893852014
ZM,0,7057,212587,0.0,0.033195821005047345
ZW,0,9580,213950,0.0,0.04477681701332087
ZZ,0,216727,3065754,0.0,0.07069288664387292
